Redlist_id,TaxonomicNotes.value,classname,family,genus,infraType,infra_authority,infra_name,internal_taxon_id,kingdom,ordername,phylum,species,taxonomicAuthority
4730,,INSECTA,SYNLESTIDAE,Chlorolestes,,,,4730,ANIMALIA,ODONATA,ARTHROPODA,draconicus,"Balinsky, 1956"
4731,,INSECTA,SYNLESTIDAE,Chlorolestes,,,,4731,ANIMALIA,ODONATA,ARTHROPODA,apricans,"Wilmot, 1975"
6973,,INSECTA,SYNLESTIDAE,Ecchlorolestes,,,,6973,ANIMALIA,ODONATA,ARTHROPODA,nylephtha,"(Barnard, 1937)"
6975,,INSECTA,SYNLESTIDAE,Ecchlorolestes,,,,6975,ANIMALIA,ODONATA,ARTHROPODA,peringueyi,"(Ris, 1921)"
13257,,INSECTA,PLATYCNEMIDIDAE,Spesbona,,,,13257,ANIMALIA,ODONATA,ARTHROPODA,angusta,"(Selys, 1863)"
15543,,INSECTA,LIBELLULIDAE,Orthetrum,,,,15543,ANIMALIA,ODONATA,ARTHROPODA,rubens,"Barnard, 1937"
22816,,INSECTA,LIBELLULIDAE,Urothemis,,,,22816,ANIMALIA,ODONATA,ARTHROPODA,luciana,"Balinsky, 1961"
42840,,INSECTA,PLATYCNEMIDIDAE,Metacnemis,,,,42840,ANIMALIA,ODONATA,ARTHROPODA,valida,"Hagen in Sélys, 1863"
42843,"<span style=""font-weight: bold;"">A-group</span>. <em>Pseudagrion</em> is likely to be split into two genera at some point. Until this taxonomic split occurs, the candidates for these two groups are highlighted by ""group A"" and ""group B"".<br/> <br/>The earlier Cape records (Pinhey 1984) are doubtful and are probably <em>Pseudagrion hageni hageni</em> (Samways 2006).",INSECTA,COENAGRIONIDAE,Pseudagrion,,,,42843,ANIMALIA,ODONATA,ARTHROPODA,newtoni,"Pinhey, 1962"
42845,,INSECTA,GOMPHIDAE,Ceratogomphus,,,,42845,ANIMALIA,ODONATA,ARTHROPODA,triceraticus,"Balinsky, 1963"
59755,Dijkstra (2003) discusses the synonymy.,INSECTA,LIBELLULIDAE,Parazyxomma,,,,59755,ANIMALIA,ODONATA,ARTHROPODA,flavicans,"(Martin, 1908)"
59781,"Western Africa records of this and the similar <span style=""font-style: italic;"">A. hamoni </span>must be reviewed.",INSECTA,COENAGRIONIDAE,Aciagrion,,,,59781,ANIMALIA,ODONATA,ARTHROPODA,gracile,"(Sjöstedt, 1909)"
59793,,INSECTA,LIBELLULIDAE,Aethriamanta,,,,59793,ANIMALIA,ODONATA,ARTHROPODA,rezia,"Kirby, 1889"
59797,"<em>A. malawi</em> specimen, described as <em>Africallagma sinuatum</em> f. <em>fugax</em> (Pinhey, 1962), differs significantly from <em>A. sinuatum</em> (Ris, 1921) and is expected to become a good species (May and Dijkstra in prep.).",INSECTA,COENAGRIONIDAE,Africallagma,,,,59797,ANIMALIA,ODONATA,ARTHROPODA,sinuatum,"(Ris, 1921)"
59800,,INSECTA,COENAGRIONIDAE,Agriocnemis,,,,59800,ANIMALIA,ODONATA,ARTHROPODA,exilis,"Selys, 1872"
59801,,INSECTA,COENAGRIONIDAE,Agriocnemis,,,,59801,ANIMALIA,ODONATA,ARTHROPODA,gratiosa,"Gerstäcker, 1891"
59805,,INSECTA,COENAGRIONIDAE,Agriocnemis,,,,59805,ANIMALIA,ODONATA,ARTHROPODA,pinheyi,"Balinsky, 1963"
59809,,INSECTA,AESHNIDAE,Anaciaeschna,,,,59809,ANIMALIA,ODONATA,ARTHROPODA,triangulifera,"McLachlan, 1896"
59811,"This species, formerly included in the genus <em>Hemianax</em>, is increasingly included in the genus <em>Anax</em>. As no genetic investigation is available, this remains controversial.",INSECTA,AESHNIDAE,Anax,,,,59811,ANIMALIA,ODONATA,ARTHROPODA,ephippiger,"(Burmeister, 1839)"
59812,,INSECTA,AESHNIDAE,Anax,,,,59812,ANIMALIA,ODONATA,ARTHROPODA,imperator,"Leach, 1815"
59813,,INSECTA,AESHNIDAE,Anax,,,,59813,ANIMALIA,ODONATA,ARTHROPODA,speratus,"Hagen, 1867"
59814,,INSECTA,AESHNIDAE,Anax,,,,59814,ANIMALIA,ODONATA,ARTHROPODA,tristis,"Hagen, 1867"
59819,This species potentially requires further investigation as there are discontinuities in habitat and behaviour across its range.,INSECTA,COENAGRIONIDAE,Azuragrion,,,,59819,ANIMALIA,ODONATA,ARTHROPODA,nigridorsum,"(Selys, 1876)"
59821,,INSECTA,LIBELLULIDAE,Brachythemis,,,,59821,ANIMALIA,ODONATA,ARTHROPODA,lacustris,"(Kirby, 1889)"
59822,"The former&#160;<em>Brachythemis leucosticta</em>&#160;(Burmeister, 1839) was split in two distinct cryptic species&#160;(Dijkstra and Matushkina 2009), with&#160;<em>B. impartita</em>&#160;(Karsch, 1890) occurring from the south of Europe and northern Africa to central Africa, and the true&#160;<em>B. leucost</em><em>icta</em>&#160;from the Sahel to South Africa. Both species overlap over a large part of central Africa.",INSECTA,LIBELLULIDAE,Brachythemis,,,,59822,ANIMALIA,ODONATA,ARTHROPODA,leucosticta,"(Burmeister, 1839)"
59824,,INSECTA,LIBELLULIDAE,Bradinopyga,,,,59824,ANIMALIA,ODONATA,ARTHROPODA,cornuta,"Ris, 1911"
59828,,INSECTA,COENAGRIONIDAE,Ceriagrion,,,,59828,ANIMALIA,ODONATA,ARTHROPODA,glabrum,"(Burmeister, 1839)"
59833,"<span style=""font-style: italic;"">Ceriagrion moorei</span> and <em>C. hamoni</em> may be synonymous with <em>C. suave</em> (Dijkstra 2005) and are treated as such here.",INSECTA,COENAGRIONIDAE,Ceriagrion,,,,59833,ANIMALIA,ODONATA,ARTHROPODA,suave,"Ris, 1921"
59835,,INSECTA,LIBELLULIDAE,Chalcostephia,,,,59835,ANIMALIA,ODONATA,ARTHROPODA,flavifrons,"Kirby, 1889"
59845,,INSECTA,CHLOROCYPHIDAE,Chlorocypha,,,,59845,ANIMALIA,ODONATA,ARTHROPODA,consueta,"(Karsch, 1899)"
59854,,INSECTA,SYNLESTIDAE,Chlorolestes,,,,59854,ANIMALIA,ODONATA,ARTHROPODA,elegans,"Pinhey, 1950"
59856,,INSECTA,GOMPHIDAE,Crenigomphus,,,,59856,ANIMALIA,ODONATA,ARTHROPODA,hartmanni,"(Förster, 1898)"
59858,,INSECTA,LIBELLULIDAE,Crocothemis,,,,59858,ANIMALIA,ODONATA,ARTHROPODA,divisa,"Baumann, 1898"
59859,,INSECTA,LIBELLULIDAE,Crocothemis,,,,59859,ANIMALIA,ODONATA,ARTHROPODA,erythraea,"(Brullé, 1832)"
59860,"<em>Crocothemis sanguinolenta</em> was first recorded from the Dead Sea by Morton (1924), based on three males in Ris' collection. Based on these specimens and new records, Schneider (1982) described the subspecies <span style=""font-style: italic;"">arabica</span>. With more material at hand Dijkstra and Dingemanse (2000) found out that characters used to separate Levantine subpopulations fall within the variation of the nominal (African) form and concluded that <span style=""font-style: italic;"">arabica </span>is not a valid subspecies.",INSECTA,LIBELLULIDAE,Crocothemis,,,,59860,ANIMALIA,ODONATA,ARTHROPODA,sanguinolenta,"(Burmeister, 1839)"
59864,The species name is often misspelt as <em>Diplacodes lefebvrei</em>.,INSECTA,LIBELLULIDAE,Diplacodes,,,,59864,ANIMALIA,ODONATA,ARTHROPODA,lefebvrii,"(Rambur, 1842)"
59866,,INSECTA,PLATYCNEMIDIDAE,Elattoneura,,,,59866,ANIMALIA,ODONATA,ARTHROPODA,glauca,"(Selys, 1860)"
59871,"<i>Gomphidia balii</i> Fraser, 1949 is possibly a synonym.",INSECTA,GOMPHIDAE,Gomphidia,,,,59871,ANIMALIA,ODONATA,ARTHROPODA,quarrei,"(Schouteden, 1934)"
59876,,INSECTA,AESHNIDAE,Gynacantha,,,,59876,ANIMALIA,ODONATA,ARTHROPODA,manderica,"Grünberg, 1902"
59879,"<em>Gynacantha zuluensis</em> (Balinsky, 1961) is a synonym of <em>Gynacantha 
usambarica&#160;</em>&#160;Sjöstedt, 1909&#160;(Djikstra 2005).",INSECTA,AESHNIDAE,Gynacantha,,,,59879,ANIMALIA,ODONATA,ARTHROPODA,usambarica,"Sjöstedt, 1909"
59881,,INSECTA,AESHNIDAE,Gynacantha,,,,59881,ANIMALIA,ODONATA,ARTHROPODA,villosa,"Grünberg, 1902"
59893,The name is often misspelt as <em>H. albipuncta</em>.,INSECTA,LIBELLULIDAE,Hemistigma,,,,59893,ANIMALIA,ODONATA,ARTHROPODA,albipunctum,"(Rambur, 1842)"
59894,,INSECTA,GOMPHIDAE,Ictinogomphus,,,,59894,ANIMALIA,ODONATA,ARTHROPODA,ferox,"(Rambur, 1842)"
59897,,INSECTA,COENAGRIONIDAE,Ischnura,,,,59897,ANIMALIA,ODONATA,ARTHROPODA,senegalensis,"(Rambur, 1842)"
59899,,INSECTA,LESTIDAE,Lestes,,,,59899,ANIMALIA,ODONATA,ARTHROPODA,dissimulans,"Fraser, 1955"
59900,This species has been confused in the past with <em>L. ochraceus</em> and <em>L. pallidus </em>(Gambles 1976) and records must be revised carefully.,INSECTA,LESTIDAE,Lestes,,,,59900,ANIMALIA,ODONATA,ARTHROPODA,ictericus,"Gerstäcker, 1869"
59902,"This species has been confused in the past with <span style=""font-style: italic;"">Lestes ochraceus</span> and <span style=""font-style: italic;"">L. ictericus</span> (Gambles 1976) and records must be revised carefully.",INSECTA,LESTIDAE,Lestes,,,,59902,ANIMALIA,ODONATA,ARTHROPODA,pallidus,"Rambur, 1842"
59904,,INSECTA,LESTIDAE,Lestes,,,,59904,ANIMALIA,ODONATA,ARTHROPODA,plagiatus,"(Burmeister, 1839)"
59905,,INSECTA,LESTIDAE,Lestes,,,,59905,ANIMALIA,ODONATA,ARTHROPODA,tridens,"McLachlan, 1895"
59906,,INSECTA,LESTIDAE,Lestes,,,,59906,ANIMALIA,ODONATA,ARTHROPODA,uncifer,"Karsch, 1899"
59907,,INSECTA,LESTIDAE,Lestes,,,,59907,ANIMALIA,ODONATA,ARTHROPODA,virgatus,"(Burmeister, 1839)"
59908,"This species is often mixed up with <em>L.&#160;</em><em>africanus</em>, of which the systematic status remains unclear.",INSECTA,GOMPHIDAE,Lestinogomphus,,,,59908,ANIMALIA,ODONATA,ARTHROPODA,angustus,"Martin, 1911"
